,title,description
266,Il castello di Vogelod,"In the castle Vogeloed, a few aristocrats are awaiting baroness Safferstätt. But first count Oetsch invites himself.. Everyone thinks he murdered his brother, baroness Safferstat's first ..."
289,The Headless Horseman,"The village of Sleepy Hollow is getting ready to greet the new schoolteacher, Ichabod Crane, who is coming from New York. Crane has already heard of the village's legendary ghost, a ..."
297,Nosferatu - Il vampiro,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
305,Ombre ammonitrici,A wealthy man invites the local wealthy bachelors over for a puppet show about men who covet another man's wife. The puppeteer is actually a witch and gives the men nightmares about what could happen if they date the lady of the house.
327,Il gobbo di Notre Dame,"In 15th-century Paris, the brother of the archdeacon plots with the gypsy king to foment a peasant revolt. Meanwhile, a freakish hunchback falls in love with the gypsy queen."
343,Das Wachsfigurenkabinett,A wax museum hires a writer to give the sculptures stories. The writer imagines himself and the museum owner's daughter in the stories.
356,Dante's Inferno,"The tactics of a vicious slumlord and greedy businessman finally drive a distraught man to commit suicide. The businessman is tried for murder and executed, and is afterward taken by demons..."
382,Orlacs Hände,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he doesn't know they once belonged to a murderer."
430,The Monster,A meek clerk who doubles as an amateur detective investigates some very strange goings-on at a remote mental sanitarium.
435,Il fantasma dell'opera,"A mad, disfigured composer seeks love with a lovely young opera singer."
470,The Bells,"An innkeeper murders a wealthy guest to pay off his debt, but his conscience will not allow him to get away with the crime so easily."
485,Faust,The demon Mephisto wagers with God that he can corrupt a mortal man's soul.
502,The Magician,"A magician/alchemist, seeking to create life, finds that he needs the ""blood of a virgin"" to continue his experiments. He sends out his dwarf assistant to pick out the right girl."
528,Der Student von Prag,"For Balduin, going out to beer parties with his fellow students and fighting out disputes at the tip of the sword have lost their charms. He wants to find love; but how would he, a ..."
539,La mandragora,"A scientist interested in the laws of heredity, impregnates a prostitute in a laboratory with the semen of a hanged murderer. The prostitute conceives a female child who has no concept of love, whom the professor adopts."
547,Il castello degli spettri,Relatives of an eccentric millionaire gather in his spooky mansion on the 20th anniversary of his death for the reading of his will.
572,Il fantasma del castello,The abandoned home of a wealthy man who supposedly committed suicide five years earlier is taken over by ghoulish figures - could they be vampires?
611,Lo sconosciuto,A criminal on the run hides in a circus and seeks to possess the daughter of the ringmaster at any cost.
627,La caduta della casa Usher,"Allan visits the sinister Usher family mansion, where his friend Roderick is painting a portrait of his sickly wife Madeline. The portrait seems to be draining the life out of Madeline, slowly leading to her death."
656,L'uomo che ride,"When a proud noble refuses to kiss the hand of the despotic King James in 1690, he is cruelly executed and his son surgically disfigured."
758,Erik il grande,"A middle-aged magician is in love with his beautiful young assistant. She, on the other hand, is in love with the magician's young protege, who turns out to be a bum and a thief."
759,The Last Warning,"A producer decides to reopen a theater, that had been closed five years previously when one of the actors was murdered during a performance, by staging a production of the same play with ..."
847,The Bat Whispers,A master criminal terrorizes the occupants of an isolated country mansion.
1067,Dracula,The ancient vampire Count Dracula arrives in England and begins to prey upon the virtuous young Mina.
1068,Drácula,Centuries-old vampire Dracula preys upon the innocent Eva and her friends.
1070,The Drums of Jeopardy,A mad doctor is determined to take revenge on the family he believes is responsible for his daughter's death.
1086,Frankenstein,An obsessed scientist assembles a living being from parts of exhumed corpses.
1131,The Mad Genius,A crippled man finds a boy and vows to make him a great dancer.
1148,Murder by the Clock,An elderly woman installs a horn in her crypt in case she's buried alive.
1171,The Phantom,A group of people are stalked by a masked killer in an old mansion.
1218,Svengali,"Through hypnotism and telepathic mind control, a sinister music maestro controls the singing voice, but not the heart, of the woman he loves."
1251,Behind the Mask,An undercover Federal officer serving time in prison fakes his escape in order to infiltrate a heroin smuggling ring.
1285,Il dottor X,A wisecracking New York reporter intrudes on a research scientist's quest to unmask The Moon Killer.
1287,Il dottor Jekyll,Dr. Jekyll faces horrible consequences when he lets his dark side run wild with a potion that transforms him into the animalistic Mr. Hyde.
1301,Freaks,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance."
1312,Haunted Gold,John and Janet get a weird letter telling them to go to a ghost town which has an abandoned mine. There they contend with bad guys looking for hidden gold. They are aided by a mysterious Phantom.
1331,Kongo,This remake of
1354,The Mask of Fu Manchu,Englishmen race to find the tomb of Genghis Khan before the sinister Fu Manchu does.
1365,The Monster Walks,People in an old dark house on a stormy night are menaced by a killer ape.
1370,La mummia,A resurrected Egyptian mummy stalks a beautiful woman he believes to be the reincarnation of his lover and bride.
1371,Murder at Dawn,Mad scientist works on a death ray in his mountain hideaway.
1372,Il dottor Miracolo,"A mad scientist seeks to mingle human blood with that of an ape, and resorts to kidnapping women for his experiments."
1382,The Old Dark House,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate."
1443,Il testamento del dottor Mabuse,A criminal mastermind uses hypnosis to rule the rackets after death.
1447,Thirteen Women,Ursula plots to murder 12 women with her supernatural powers.
1464,Vampyr,A drifter obsessed with the supernatural stumbles upon an inn where a severely ill adolescent girl is slowly becoming a vampire.
1475,L'isola degli zombies,"A young man turns to a witch doctor to lure the woman he loves away from her fiancé, but instead turns her into a zombie slave."
1563,The Ghoul,An Egyptologist returns from the dead to take revenge on those who have violated his tomb.
1591,L'uomo invisibile,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane."
1592,L'isola delle anime perdute,"An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations."
1598,King Kong,A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.
1611,La llorona,"In modern day Mexico, a man on the street is supernaturally killed after hearing the eerie sound of a wailing woman. We then arrive at the manor of an upper class family, who are ..."
1629,Murders in the Zoo,A monomaniacal zoologist is pathologically jealous of his beautiful but unfaithful wife Evelyn and will not stop short of murder to keep her.
1630,La maschera di cera,The disappearance of people and corpses leads a reporter to a wax museum and a sinister sculptor.
1633,Night of Terror,"The heirs to a family fortune are required to attend a seance at the spooky old family mansion. However, throughout the night members of the family are being killed off one by one."
1670,Secret of the Blue Room,"Twenty years after 3 murders occur in a castle's ""blue room"", three men who each want to marry a beautiful girl decide to spend a night in the room to prove their bravery to her."
1695,Supernatural,"A serial black widow murderess returns to life in the body of a young woman to exact revenge on a former lover, a phony spiritualist who betrayed her."
1715,Il vampiro,"When corpses drained of blood begin to show up in a European village, vampirism is suspected to be responsible."
1723,The Whispering Shadow,"A mysterious criminal known as The Whispering Shadow commits crimes by means of a gang he controls by television and radio rays. Jack Norton, whose brother was murdered by The Whispering ..."
1753,The Black Cat,American honeymooners in Hungary become trapped in the home of a Satan-worshiping priest when the bride is taken there for medical help following a road accident.
1754,Black Moon,"A young girl who lives on a tropical island loses her parents to a voodoo sacrifice, but although she manages to escape the island, a curse is put on her. Years later, as an adult, she ..."
1795,Dos monjes,"In a Gothic-styled monastery, a monk named Javier sees the face of another monk, Juan, and suddenly attempts to bludgeon him to death with a heavy crucifix. Both men then relate their own ..."
1803,El fantasma del convento,"Alfonso (Del Campo), Eduardo (Villatoro) and Eduardo's wife Cristina (Ruel) get lost when visiting a forest. A strange monk finds them and takes them to an ancient convent. There, the three..."
1841,House of Mystery,An ancient curse and a killer ape are contained inside an old dark mansion.
1869,L'incredibile realtà,A doctor who has spent his career working on ways to revive the dead sees his chance to prove his theory by performing his procedures on a recently deceased dog.
1891,Maniac,A former vaudevillian gifted at impersonation assists a mad scientist in reanimating corpses and soon goes mad himself.
1919,The 9th Guest,"Eight strangers are invited to spend the night in a penthouse apartment. After being wined and dined, a voice on the radio informs them that they will be murdered unless they manage to outwit the ninth guest: Death."
1944,The Return of Chandu,"The Black Magic cult of Ubasti, based on the isle of Lemuria, believes that Nadji, a princess of Egypt, is a reincarnation of their long-dead goddess, Ossana, and intend to sacrifice Nadji ..."
2041,Il mistero della camera nera,"Ignoring an ancient prophecy, evil brother Gregor seeks to maintain his feudal power on his his Tyrolean estate by murdering and impersonating his benevolent younger twin."
2048,La moglie di Frankenstein,"Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate."
2066,"Chloe, Love Is Calling You",A black voodoo priestess comes out of the Louisians swamps to take revenge on the white plantation owner she believes killed her husband.
2070,Condemned to Live,"After a series of unsolved murders, a man finds out that his mother was bitten by a vampire bat during her pregnancy, and he believes that he may be the vampire committing the murders."
2109,Il fantasma galante,"A haunted Scottish castle is dismantled and transported to Florida, bringing the family ghost along with it."
2158,Amore folle,"Paris, France: a demented surgeon's obsession with a British actress leads him to secretly replace her concert pianist husband's train-wreck-mangled hands with those of a guillotined murderer. . . with a gift for knife-throwing."
2166,I vampiri di Praga,"When a nobleman is murdered, a professor of the occult blames vampires; but not all is what it seems."
2187,Mystery of Edwin Drood,An opium-addicted choirmaster develops an obsession for a beautiful young girl and will not stop short of murder in order to have her.
2188,The Mystery of the Mary Celeste,"During a horrific storm at sea, the crew realizes that there is a murderer among them who is killing them off one by one."
2227,The Raven,A brilliant surgeon obsessed with
2265,Lo studente di Praga,"Prague in the 1860s: Balduin is a popular, handsome student, the best fencer in town, in amicable rivalry with his friend Dahl for the affections of Lydia, the innkeeper's niece. While the ..."
2290,Il segreto del Tibet,The juice of a rare Tibetan flower is the only thing that keeps Dr. Glendon from turning into a werewolf during a full moon.
2356,The Crime of Doctor Crespi,"A crazed scientist invents a serum that induces a catatonic state in whoever it is injected into. He uses the serum to paralyze his enemies, so that he can bury them alive."
2371,La bambola del diavolo,An escaped convict uses miniaturized humans to wreak vengeance on those that framed him.
2375,La figlia di Dracula,"Hungarian countess Marya Zaleska seeks the aid of a noted psychiatrist, hoping to free herself of a mysterious evil influence."
2386,Fährmann Maria,A beautiful young drifter comes to a small village and battles Death itself to save the man she loves.
2401,Le golem,"The Golem, a giant creature created out of clay by a rabbi, comes to life in a time of trouble to protect the Jews of Prague from persecution."
2413,Il raggio invisibile,"A scientist becomes murderous after discovering, and being exposed to the radiation of, a powerful new element called Radium X."
2445,The Man Who Changed His Mind,"Dr. Laurience, a brilliant but unstable scientist experimenting with transferring minds, becomes vengeful when his magnate patron withdraws his support."
2461,Mummy's Boys,"Two ditch diggers from New York join an archeological expedition to Egypt in hopes of striking it rich, unaware of the supposed curse."
2501,Revolt of the Zombies,An international expedition is sent into Cambodia to destroy an ancient formula that turns men into zombies.
2521,Shadow of Chinatown,A madman sets out to destroy a group of Chinatown merchants.
2541,Sweeney Todd: The Demon Barber of Fleet Street,"A Fleet Street barber recounts the story of Sweeney Todd, a notorious barber who in the last century murdered many customers for their money."
2577,L'ombra che cammina,"After hapless pianist and ex-con John Elman is framed for murder, he is resurrected by a scientist after his execution."
2806,SOS Coast Guard,A mad scientist tries to sell his formula for a dist integrating gas to foreign powers.
2937,Charlie Chan in Honolulu,"While Charlie is distracted with the birth of his first grandchild, son Jimmy impersonates his father in order to investigate a murder aboard a freighter in the harbor."
3210,Il fantasma di mezzanotte,"When an eccentric family meets in their uncle's remote, decaying mansion on the tenth anniversary of his death for the reading of his will, murder and madness follow."
3211,Charlie Chan nell'isola del tesoro,Charlie's investigation of a phony psychic during the 1939 World Exposition on San Francisco's Treasure Island leads him to expose a suicide as murder.
3225,Occhi neri di Londra,Insurance agent-physician collects on policies of men murdered by a disfigured resident of the home for the blind where he acts as doctor-on-call.
3233,The Devil's Daughter,"Sylvia Walton returns from Harlem to take over a Jamaican plantation from her vindictive half-sister, amid the growing sound of drums."
3245,The Face at the Window,Set in France in 1880. A series of murders is attributed to a Wolf Man.
3269,The Gorilla,"When a wealthy man is threatened by a killer known as The Gorilla, he hires the Ritz Brothers to investigate. A real escaped gorilla shows up at the mansion just as the investigators arrive."
3287,Il mastino dei Baskerville,"Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate."
3302,Io accuso,"After serving in the trenches of World War I, Jean Diaz recoils with such horror that he renounces love and personal pleasure to immerse himself in scientific research, seeking a machine to..."
3333,L'uomo che non poteva essere impiccato,"When Dr. Savaard's experiment in cryonics is interrupted by the short-sighted authorities, his volunteer dies, and he is condemned to death. He vows vengeance if he can survive his own hanging."
3373,The Phantom Creeps,A military intelligence officer and a pretty reporter try to find a scientist whose inventions can destroy the world.
3385,Il ritorno del dottor X,A hotshot reporter and a young doctor team up to investigate a series of grisly murders and a mysterious sample of synthetic blood.
3403,Il figlio di Frankenstein,"One of the sons of Frankenstein finds his father's monster in a coma and revives him, only to find out he is controlled by Ygor who is bent on revenge."
3435,Torture Ship,"A mad scientist performs experiments on ""the criminal mind"" on captured criminals on board his private ship."
3477,The Ape,"Dr. Bernard Adrian is a kindly mad scientist who seeks to cure a young woman's polio. He needs spinal fluid from a human to complete the formula for his experimental serum. Meanwhile, a ..."
3483,Prima che m'impicchino,"A physician on death row for a mercy killing is allowed to experiment on a serum using a criminals' blood, but secretly tests it on himself. He gets a pardon, but finds out he's become a Jekyll-&-Hyde."
3489,Black Friday,"Dr. Sovac transplants the brain of a gangster into his professor friend's body to save his life, but there is a side effect that causes a dangerous split personality."
3532,Notti di terrore,A mad scientist develops an aftershave lotion that causes his gigantic bats to kill anyone who wears it.
3537,The Door with Seven Locks,A murder is found to be connected to a false heir and a secret underground torture chamber.
3539,Il dottor Cyclops,A mad scientist working in the South American jungle miniaturizes his colleagues when he feels his megalomania is threatened.
3568,La donna e lo spettro,"A radio broadcaster, his quaking manservant and an heiress investigate the mystery of a haunted castle in Cuba."
3598,Il ritorno dell'uomo invisibile,"The owner of a coal mining operation, falsely imprisoned for fratricide, takes a drug to make him invisible, despite its side effect: gradual madness."
3649,The Mummy's Hand,"An ancient mummy is revived to destroy the invaders of the 3,000 year-old tomb of an Egyptian princess."
3703,Son of Ingagi,A newlywed couple is visited by a strange old woman who harbors a secret about the young girl's father.
3708,Spellbound,"A young man's fiancé dies after contracting a terminal illness, and in his efforts to contact her he gets involved with a group of spiritualists."
3758,You'll Find Out,"The manager of Kay Kyser's band books them for a birthday party bash for an heiress at a spooky mansion, where sinister forces try to kill her."
3791,The Black Cat,"Elderly Henrietta Winslow lives in an isolated mansion with her housekeeper and beloved cats. As her health fails, her greedy relatives gather in anticipation of her death."
3833,The Devil Commands,Scientist becomes obsessed with the idea of communicating with his dead wife.
3840,Il dottor Jekyll e Mr. Hyde,Dr. Jekyll allows his dark side to run wild when he drinks a potion that turns him into the evil Mr. Hyde.
3867,Il treno fantasma,High jinks and chills ensue when a group of people become stranded at an isolated station and a legendary phantom train approaches.
3887,L'inafferrabile spettro,"After inheriting a fortune from a gangster, two dim-witted service station attendants find themselves stranded in a haunted house."
3903,Lo spettro invisibile,The town's leading citizen becomes a homicidal maniac after his wife deserts him.
3913,King of the Zombies,"On a spooky island, three stranded travelers find an evil doctor working with foreign spies and in control of zombies."
3944,Man Made Monster,A mad scientist turns a man into an electrically-controlled monster to do his bidding.
3954,The Monster and the Girl,"After a young woman is coerced into prostitution and her brother framed for murder by an organized crime syndicate, retribution in the form of an ape visits the mobsters."
4030,Spooks Run Wild,"The boys are sent to a mountain camp. Stranded in a small rural town, they hear about a ""monster killer"" roaming the countryside. At night, they sneak out. Peewee is shot by a grave-digger,..."
4080,L'uomo lupo,A practical man is infected with a horrific disease his disciplined mind tells him cannot possibly exist.
4116,The Boogie Man Will Get You,A young divorcee tries to convert a historic house into a hotel despite its oddball inhabitants and dead bodies in the cellar.
4128,Il bacio della pantera,An American man marries a Serbian immigrant who fears that she will turn into the cat person of her homeland's fables if they are intimate together.
4132,Il corpo scomparso,"A scientist, aided by an old hag and her two sons, kills virginal brides, steals their bodies, and extracts gland fluid to keep his ancient wife alive and young."
4143,Dr. Renault's Secret,"Dr. Larry Forbes visits the château of Dr. Robert Renault, uncle of his fiancée Madelon, who is idolized by Renault's assistant, a strange émigré from Java."
4168,Il terrore di Frankenstein,"When Ygor brings the Monster to Dr. Ludwig Frankenstein for care, Ludwig gets the idea of replacing the Monster's current criminal brain with a normal one."
4182,The Hidden Hand,Peter Thorne (
4217,The Living Ghost,"Wise-cracking ex-detective Nick Trayne is called in to try to find the whereabouts of wealthy kidnap victim Walter Craig. Craig unexpectedly turns up alive but with apparent brain damage, ..."
4221,The Mad Doctor of Market Street,"A mad scientist is forced to leave San Francisco when his experiments become known. He lands on a tropical island, takes control and terrorizes the local populace. The survivor of a ..."
4222,Mostro pazzo,A mad scientist changes his simple-minded handyman into a werewolf in order to prove his supposedly crazy scientific theories - and exact revenge.
4225,La mano del diavolo,"Roland Brissot bought for a nickel a talisman that gives him love, fame and wealth. The talisman is a cut left hand, and it works perfectly. But of course there is nothing free in this ..."
4231,Man with Two Lives,"A man is brought back from death at the same time a vicious criminal dies in the electric chair. However, the man's soul is now taken over by the electrocuted gangster, who embarks on a vengeful crime wave."
4251,The Mummy's Tomb,A high priest travels to America with a living mummy to kill those who had desecrated the tomb of an Egyptian princess thirty years earlier.
4261,Torbide acque,"Two teachers, man-hungry Doris and restrained Marian, visit the Yorkshire moors a year after friend Evelyn disappeared there. On a stormy night, they take refuge in the isolated cottage of ..."
4262,Night Monster,"Kurt Ingston, a rich recluse, invites the doctors who left him a hopeless cripple to his desolate mansion in the swamps as one by one they meet horrible deaths."
4323,The Strange Case of Doctor Rx,Private eye Jerry Church is hired by a criminal defense lawyer after five mobsters he has gotten acquitted are apparently strangled by a serial killer.
4356,The Undying Monster,"Surviving members of an aristocratic English family are threatened by a legendary monster when they venture out on chilly, foggy nights."
4394,L'uomo scimmia,"A crazed scientist accidentally turns himself into a half ape, half human creature, and scrambles to find a cure."
4411,Calling Dr. Death,"A doctor is not sure if he murdered his beautiful but wicked wife, and has his attractive nurse try to find the truth by hypnotizing him."
4414,Captive Wild Woman,An insane scientist doing experimentation in glandular research becomes obsessed with transforming a female gorilla into a human...even though it costs human life.
4442,Cyclops il vampiro,"The twin of a kindly small-town physician returns from the grave for vengeance against his brother, who secretly killed him because the twin served Satan."
4472,Frankenstein contro l'uomo lupo,"After being awakened, Larry Talbot chips Frankenstein's Monster out of a block of ice. When Talbot changes to the Wolf Man, the two creatures battle each other."
4511,Ho camminato con uno zombi,"A nurse is hired to care for the wife of a sugar plantation owner, who has been acting strangely, on a Caribbean island."
4534,The Leopard Man,"A seemingly tame leopard used for a publicity stunt escapes and kills a young girl, spreading panic throughout a sleepy New Mexico town."
4539,The Mad Ghoul,"A university chemistry professor experiments with an ancient Mayan gas on a medical student, turning the would-be surgeon into a murdering ghoul."
4557,The Mysterious Doctor,The citizens of a tiny Cornish village are tormented during World War II by a headless ghost which is haunting the local tin mine.
4574,Il fantasma dell'opera,An acid-scarred composer rises from the Paris sewers to boost his favorite opera understudy's career.
4581,Revenge of the Zombies,"Scott Warrington and his hired detective, Larry Adams, arrive at an old mansion in the middle of a Louisiana swamp to meet his brother-in-law, Dr. Max von Altermann shortly after the death ..."
4586,La settima vittima,"A woman in search of her missing sister uncovers a Satanic cult in New York's Greenwich Village, and finds that they may have something to do with her sibling's random disappearance."
4596,Il figlio di Dracula,"Count Alucard finds his way from Budapest to the swamps of the Deep South; his four nemeses are a medical doctor, a university professor, a jilted fiancé and the woman he loves."
4665,La follia di Barbablù,"In Paris, an artist hires portrait models, and after he finishes their portraits, he strangles them."
4685,La voce magica,A demented physician becomes obsessed with a young singer whose voice sounds similar to his late mistress.
4691,Cry of the Werewolf,A young woman raised by gypsies hides a deadly secret which she will do anything to protect.
4692,Il giardino delle streghe,"The young, friendless daughter of Oliver and Alice Reed befriends her father's dead first wife and an aging, reclusive actress."
4729,Caccia al fantasma,"Two zanies get mixed up with a Southern colonel, his beautiful daughters, a nightclub and a haunted mansion."
4753,Al di là del mistero,"An evil scientist and his hunchbacked assistant escape from prison and encounter Dracula, the Wolf Man and Frankenstein's Monster."
4762,La rivincita dell'uomo invisibile,"An eccentric scientist helps a fugitive from the law become invisible, unwittingly giving him the power to exact revenge on his former friends."
4769,La donna della giungla,"Paula the ape woman (Acquanetta) is alive and well, and running around a creepy old sanitarium run by the kindly Dr. Fletcher (J. Carrol Naish), also reverting to her true gorilla form ..."
4775,La donna e il mostro,"A millionaire's brain is preserved after his death, and telepathically begins to take control of those around him."
4782,Il pensionante,A landlady suspects her new lodger is Jack the Ripper.
4806,Il fabbricante di mostri,"A mad scientist injects his enemies with an acromegaly virus, causing them to become hideously deformed."
4811,The Mummy's Curse,"An irrigation project in the rural bayous of Louisiana unearths living mummy Kharis, who was buried in quicksand twenty-five years earlier."
4812,The Mummy's Ghost,"An Egyptian priest travels to America in search of the bodies of an Egyptian princess and her living, mummified guardian, with consequences."
4813,Murder in the Blue Room,"A party is thrown at a haunted mansion, people start to die, and a man who spent a night in the ""blue room"" disappears."
4830,One Body Too Many,An insurance investigator arrives at a creepy mansion to protect a millionaire who has had death threats made against him.
4846,Return of the Ape Man,"While on an Arctic expedition, two scientists find the frozen body of a prehistoric caveman. They bring him home to their laboratory, but decide that in order to fully utilize (and control)..."
4848,Il ritorno del vampiro,"When an errant bomb unearths the coffin of a vampire during the London Blitz, a gravedigger unknowingly reanimates the monster by removing the stake from his heart"
4867,The Soul of a Monster,"As famous surgeon, George Winson, lies on his deathbed, his wife Ann calls on unknown powers to save him. A strange woman (Lilyan) appears from nowhere and takes control. George recovers, ..."
4897,La torre de los siete jorobados,In 19th century Madrid a young man plays roulette. A mysterious character helps him by pointing with his walking stick the next number where the ball is going to fall. The protagonist is ...
4901,La casa sulla scogliera,A composer and his sister discover that the reason they are able to purchase a beautiful gothic seacoast mansion very cheaply is the house's unsavory past.
4909,Voodoo Man,"Dr. Richard Marlowe uses a combination of voodoo rite and hypnotic suggestion, attempting to revive his beautiful, but long-dead, wife, by transferring the life essences of several hapless ..."
4913,Weird Woman,"While on a South Seas trip, a professor falls in love and marries an exotic native woman. What he doesn't know is that she was raised by superstitious natives who believe her to be some ..."
4945,La jena: L'uomo di mezzanotte,A ruthless doctor and his young prize student find themselves continually harassed by their murderous supplier of illegal cadavers.
4973,Incubi notturni,Architect Walter Craig (Mervyn Johns) senses impending doom as his half-remembered recurring dream turns into reality. The guests at the country house encourage him to stay as they take turns telling supernatural tales.
4998,Fog Island,"An inventor recently released from prison invites a group of former business associates to a holiday in his island home, intending to exact revenge on them."
5001,The Frozen Ghost,A stage mentalist involved in a mysterious death and a discredited plastic surgeon are among the assorted characters involved in mysterious goings-on in an eerie wax museum.
5018,La casa degli orrori,"Count Dracula and the Wolf Man seek cures for their afflictions; a hunchbacked woman, a mad scientist and Frankenstein's Monster have their own troubles."
5028,Il vampiro dell'isola,"On a Greek island during the 1912 war, several people are trapped by quarantine for the plague. If that isn't enough worry, one of the people, a superstitious old peasant woman, suspects ..."
5032,The Jade Mask,"Eccentric scientist Harper lives in a spooky mansion with all the trimmings: hidden lab, secret panels, inscrutable butler, and greedy relatives with unusual talents. When Harper seems to ..."
5035,The Jungle Captive,"Once again, Paula Dupree, the Ape Woman, is brought back to life, this time by a mad scientist and his disfigured assistant, who also kidnaps his female lab assistant in order to have a ..."
5074,Il ritratto di Dorian Gray,"A corrupt young man somehow keeps his youthful beauty, but a special painting gradually reveals his inner ugliness to all."
5075,Pillow of Death,"Attorney Wayne Fletcher and his secretary are having an affair, so when Wayne's wife is found smothered to death, he becomes the prime suspect. As the police investigate the murder, a ..."
5113,Strange Confession,"A scientist who is working on a cure for influenza is victimized by his unscrupulous boss, who releases the vaccine before it's ready, resulting in the death of the scientist's young son."
5115,Strangler of the Swamp,A number of swamp land men have died by strangulation and the inhabitants believe that an innocent man they hanged is seeking revenge on all of the male descendants of those responsible for...
5137,The Vampire's Ghost,"In a small African port, a tawdry bar is run by a man named Webb Fallon. Fallon is actually a vampire, but he is becoming weary of his ""life"" of the past few hundred years."
5150,Woman Who Came Back,"After a bus accident, a woman comes to believe that she's actually a 300-year-old witch."
5156,Zombies on Broadway,Two bumbling press agents must search for a zombie to fulfill a commitment to their ex-gangster boss's new nightclub or face the consequences.
5172,Il mistero delle 5 dita,"In a turn-of-the-century Renaissance Italian mansion, its tyrannical owner, a one-handed, wheelchair-bound pianist, with a strong belief in the occult, is murdered."
5175,Manicomio,"Nell Bowen, the spirited protege of rich Lord Mortimer, becomes interested in the conditions of notorious St. Mary's of Bethlehem Asylum (Bedlam). Encouraged by the Quaker Hannay, she tries..."
5192,The Brute Man,A facially deformed and mentally unhinged man wreaks his revenge on those who deformed him with a series of brutal murders.
5199,The Catman of Paris,Are mysterious killings in Paris of 1896 the work of man or monster?
5225,Devil Bat's Daughter,"Wishing to dispose of his wife, psychiatrist Doctor Elliott makes his patient Nina think that she suffers from a compulsion to kill. He drugs Nina, murders his wife and leaves evidence that..."
5242,The Face of Marble,Dr. Randolph is so obsessed with reanimating the dead in his isolated old dark house and lab that he doesn't realize his wife is in love with his younger assistant.
5249,The Flying Serpent,"The demented archaeologist Dr. Andrew Forbes discovers a living, breathing serpent creature known to the Aztecs as Quetzalcoatl, the Killer Bird God, and accidentally kills his wife by ..."
5268,House of Horrors,"An unsuccessful sculptor saves a madman named ""The Creeper"" from drowning. Seeing an opportunity for revenge, he tricks the psycho into murdering his critics."
5364,La Donna Lupo a Londra,A young heiress finds evidence suggesting that at night she acts under the influence of a family curse and has begun committing ghastly murders in a nearby park.
5377,The Spider Woman Strikes Back,"A young girl goes to work as a live-in caretaker for a spooky old woman. She doesn't know that every night, the woman drains some blood from her to feed her strange plant."
